"","star","review"
"1","10","신기하다이 영화 지금껏 네번 봤는데도자꾸 장면 생각나고 여운이 길어 또 보고 싶음.이번 주에 또 보러가게 될 것 같다.올해 내가 가장 극장에서 많이 본 영화.예술 영화로서 정말 잘 만들었다 호아킨 피닉스의 아서일때 연기와조커로 바뀌었을때 연기가 자꾸 생각난다"
"2","10","5일 지나도 문득 생각나는 영화는 걸작이랬는데.. 1주일 지나도 계속 생각난다."
"3","10","코믹스 영화는 믿고 거르는데이 영화는 다르다.2019년 최고의 영화가 아닌가싶다"
"4","9",""
"5","10","좋아요"
"6","10",""
"7","0","네이버는 1점부터 줄수 잇는데 0점을 줄수 잇어서 행복! 오늘 좋은 하루입니다."
"8","9","뭐 하나 나무랄데 없는 완벽에 가까운 영화진한 슬픔이 다가오는 현실, 결국은 환경이 나를지배해 버린 , 발버둥 치는 인간군상의 고담시"
"9","10","완벽한영화음악,춤,연출,연기까지,  편견없이보려고 아무정보없이밨어요.  근래 최고의영화라고 단언합니다."
"10","9","현시대의 문제점을 통찰하고 우리의 마음 속을 꿰뚫어 보는 혜안이 있는 영화."
