"div" "final_result"
"1" "Best" "조승민엄마가 사이다네 그냥 소년원보내라는거ㅋㅋㅋ"
"2" "Best" "히익 칼업댓<U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2584><U+2584><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2588><U+2591><U+2591><U+2588><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2588><U+2591><U+2591><U+2588><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2588><U+2591><U+2591><U+2591><U+2588><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2588><U+2591><U+2591><U+2591><U+2591><U+2588><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2588><U+2588><U+2588><U+2588><U+2588><U+2588><U+2584><U+2584><U+2588><U+2591><U+2591><U+2591><U+2591><U+2591><U+2588><U+2588><U+2588><U+2588><U+2588><U+2588><U+2584><U+2591><U+2591><U+2591><U+2593><U+2593><U+2593><U+2593><U+2593><U+2593><U+2588><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2588><U+2591><U+2591><U+2593><U+2593><U+2593><U+2593><U+2593><U+2593><U+2588><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2588><U+2591><U+2591><U+2593><U+2593><U+2593><U+2593><U+2593><U+2593><U+2588><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2588><U+2591><U+2591><U+2593><U+2593><U+2593><U+2593><U+2593><U+2593><U+2588><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2588><U+2591><U+2591><U+2593><U+2593><U+2593><U+2593><U+2593><U+2593><U+2588><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2588><U+2591><U+2591><U+2593><U+2593><U+2593><U+2593><U+2593><U+2593><U+2588><U+2588><U+2588><U+2588><U+2588><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2591><U+2588><U+2588><U+2591><U+2591><U+2588><U+2588><U+2588><U+2588><U+2588><U+2580><U+2591><U+2591><U+2591><U+2591><U+2580><U+2580><U+2588><U+2588><U+2588><U+2588><U+2588><U+2588><U+2588><U+2588><U+2591><U+2591><U+2591><U+2591>"
"3" "Best" "조승민 1년 6개월 뒤에 나와서 또 무슨일 칠거같다"
"4" "Best" "뭐야 다음화 뭔데...누가 추리좀 해줘요ㅠㅠ"
"5" "Best" "뭐지 조승민의 소주병땜에 분량도 짤린느낌은"
"6" "Best" "사필귀정 : 무슨 일이든 결국 옳은 이치대로 돌아간다"
"7" "Best" "다음화 예고 에서 \"야 그거알아? 이경우...\" 라는 말은 조승민 때문에 경우 눈 다쳐서 경우가 머리카락으로 눈 가리고 다닌다는 말이 퍼지고 경우한테 앞머리까라고 했던 경우 전여친 예슬이가 그 말을 듣고 놀란 그런 내용일것 같네요"
"8" "Best" "오늘편 분량 적은거같다 기분탓인가"
"9" "Best" "조승민 옷을 보면 bye라고 써있죠 그리고 그 글자 앞에 o인지 d인지 모르는 영어가 있고요good bye라는 문장을 추측할 수 있게 되는데요이는 조승민이 우리에게 하는 마지막 말로서 안녕이라는거입니다외국에서는 다음에 보자는 의미로 good bye라기보다는 see you라고 표현을 하죠ㅈ승민은 앞으로 연애혁명에 안 나옵니다 여러분"
"10" "Best" "경우 엿날린거 사이다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
